method,method_label,metric,rate,median,q10,q90
simclr_z,InfoNCE critic space z,coarse_retention,3.528296892601168,0.3889603182157219,0.38821218786721406,0.3899099625686803
simclr_z,InfoNCE critic space z,coarse_retention,3.5597995434279643,0.39362881756349916,0.3928796890967403,0.39457985849614013
simclr_z,InfoNCE critic space z,coarse_retention,3.5913021942547605,0.3982973169112764,0.3975471903262666,0.3992497544235999
simclr_z,InfoNCE critic space z,coarse_retention,3.6228048450815566,0.4029658162590536,0.40221469155579287,0.4039196503510597
simclr_z,InfoNCE critic space z,coarse_retention,3.654307495908353,0.40763431560683083,0.4068821927853192,0.40858954627851946
simclr_z,InfoNCE critic space z,coarse_retention,3.685810146735149,0.4123028149546081,0.4115496940148454,0.4132594422059792
simclr_z,InfoNCE critic space z,coarse_retention,3.717312797561945,0.4169713143023853,0.4162171952443717,0.417929338133439
simclr_z,InfoNCE critic space z,coarse_retention,3.7488154483887413,0.4216398136501625,0.420884696473898,0.4225992340608988
simclr_z,InfoNCE critic space z,coarse_retention,3.7803180992155374,0.42630831299793975,0.42555219770342423,0.4272691299883586
simclr_z,InfoNCE critic space z,coarse_retention,3.8118207500423336,0.430976812345717,0.43021969893295053,0.4319390259158184
simclr_z,InfoNCE critic space z,coarse_retention,3.8433234008691297,0.4356453116934942,0.4348872001624768,0.43660892184327815
simclr_z,InfoNCE critic space z,coarse_retention,3.874826051695926,0.44031381104127143,0.43955470139200303,0.4412788177707379
simclr_z,InfoNCE critic space z,coarse_retention,3.906328702522722,0.4449823103890487,0.44422220262152934,0.4459487136981977
simclr_z,InfoNCE critic space z,coarse_retention,3.937831353349518,0.4496508097368259,0.44888970385105564,0.4506186096256575
simclr_z,InfoNCE critic space z,coarse_retention,3.9693340041763143,0.4543193090846031,0.4535572050805819,0.4552885055531173
simclr_z,InfoNCE critic space z,coarse_retention,4.000836655003111,0.4589878084323804,0.45822470631010825,0.45995840148057715
simclr_z,InfoNCE critic space z,coarse_retention,4.032339305829907,0.46365630778015754,0.46289220753963445,0.46462829740803685
simclr_z,InfoNCE critic space z,coarse_retention,4.063841956656702,0.46832480712793473,0.4675597087691607,0.46929819333549655
simclr_z,InfoNCE critic space z,coarse_retention,4.095344607483499,0.472993306475712,0.472227209998687,0.47396808926295636
simclr_z,InfoNCE critic space z,coarse_retention,4.126847258310295,0.47766180582348916,0.4768947112282132,0.47863798519041606
simclr_z,InfoNCE critic space z,coarse_retention,4.158349909137091,0.4823303051712665,0.48156221245773956,0.4833078811178759
simclr_z,InfoNCE critic space z,coarse_retention,4.189852559963887,0.48699880451904365,0.48622971368726575,0.4879777770453356
simclr_z,InfoNCE critic space z,coarse_retention,4.2213552107906835,0.4916673038668209,0.49089721491679206,0.4926476729727955
simclr_z,InfoNCE critic space z,coarse_retention,4.252857861617479,0.4963358032145981,0.4955647161463183,0.4973175689002552
simclr_z,InfoNCE critic space z,coarse_retention,4.284360512444276,0.5010043025623754,0.5002322173758447,0.5019874648277151
simclr_z,InfoNCE critic space z,coarse_retention,4.315863163271072,0.5056728019101525,0.5048997186053709,0.5066573607551749
simclr_z,InfoNCE critic space z,coarse_retention,4.347365814097868,0.5103413012579299,0.5095672198348972,0.5113272566826347
simclr_z,InfoNCE critic space z,coarse_retention,4.378868464924664,0.515009800605707,0.5142347210644235,0.5159971526100944
simclr_z,InfoNCE critic space z,coarse_retention,4.4103711157514605,0.5196782999534844,0.5189022222939498,0.5206670485375542
simclr_z,InfoNCE critic space z,coarse_retention,4.441873766578256,0.5243467993012615,0.523569723523476,0.5253369444650139
simclr_z,InfoNCE critic space z,coarse_retention,4.473376417405053,0.5290152986490387,0.5282372247530023,0.5300068403924738
