variant,label,mode,K,requested_checkpoint,checkpoint_unit,effective_batch_size,channel_row_kl_median,channel_row_kl_q10,channel_row_kl_q90,channel_row_kl_last_median,channel_row_kl_last_q10,channel_row_kl_last_q90,critic_mse_mod_gauge_median,critic_mse_mod_gauge_q10,critic_mse_mod_gauge_q90,critic_mse_mod_gauge_last_median,critic_mse_mod_gauge_last_q10,critic_mse_mod_gauge_last_q90
cosine,cosine decay,matched,4,1100,steps,512,0.00345532319103684,0.003313324713920885,0.0036995832024231956,0.00345532319103684,0.003313324713920885,0.0036995832024231956,0.012539942063427664,0.010928655431749918,0.013686163326606968,0.012539942063427664,0.010928655431749918,0.013686163326606968
cosine,cosine decay,matched,4,1450,steps,512,0.0015218032663908408,0.001411616470929994,0.0017198757612726305,0.0015218032663908408,0.001411616470929994,0.0017198757612726305,0.007048330950162928,0.005147154972322795,0.007676836995381565,0.007048330950162928,0.005147154972322795,0.007676836995381565
cosine,cosine decay,matched,4,1800,steps,512,0.0008997683054866971,0.0008378448822565007,0.0010013653457086795,0.0008997683054866971,0.0008378448822565007,0.0010013653457086795,0.005037590877273939,0.003597180607078442,0.005967970513967992,0.005037590877273939,0.003597180607078442,0.005967970513967992
cosine,cosine decay,matched,32,50,steps,512,0.020976425539277695,0.01816049960145344,0.025316489442822467,0.020976425539277695,0.01816049960145344,0.025316489442822467,0.17858461677370252,0.11853645212504342,0.25400704667000557,0.17858461677370252,0.11853645212504342,0.25400704667000557
cosine,cosine decay,matched,32,100,steps,512,0.009846622230882143,0.009269184618524164,0.010727090637392,0.009846622230882143,0.009269184618524164,0.010727090637392,0.08724494141175777,0.057248051723652445,0.12642384315564323,0.08724494141175777,0.057248051723652445,0.12642384315564323
cosine,cosine decay,matched,32,180,steps,512,0.008086626081243853,0.007332413157200227,0.009134798110205062,0.008086626081243853,0.007332413157200227,0.009134798110205062,0.04829901936543945,0.033838345053779986,0.06785282081207025,0.04829901936543945,0.033838345053779986,0.06785282081207025
cosine,cosine decay,matched,32,300,steps,512,0.007491066492311762,0.007192626995490303,0.007971340352164761,0.007491066492311762,0.007192626995490303,0.007971340352164761,0.0338037607302415,0.027119050872665248,0.042658033388808594,0.0338037607302415,0.027119050872665248,0.042658033388808594
cosine,cosine decay,matched,32,500,steps,512,0.006873790089548353,0.006253591892015385,0.007370648220293494,0.006873790089548353,0.006253591892015385,0.007370648220293494,0.026288705135092044,0.02333767039536433,0.02876697957749741,0.026288705135092044,0.02333767039536433,0.02876697957749741
cosine,cosine decay,matched,32,750,steps,512,0.005070242183264646,0.0045841193904812986,0.005576229567588592,0.005070242183264646,0.0045841193904812986,0.005576229567588592,0.019281713612361754,0.015169032630046448,0.021888510388080738,0.019281713612361754,0.015169032630046448,0.021888510388080738
cosine,cosine decay,matched,32,1100,steps,512,0.003012086103482956,0.00273126832761806,0.0031226588614505944,0.003012086103482956,0.00273126832761806,0.0031226588614505944,0.010555324638744657,0.00952376440496474,0.01503595777287517,0.010555324638744657,0.00952376440496474,0.01503595777287517
cosine,cosine decay,matched,32,1450,steps,512,0.0013211701356927324,0.001243435789930204,0.0014236860226215092,0.0013211701356927324,0.001243435789930204,0.0014236860226215092,0.005902901997873918,0.004951305645487321,0.008396571230979264,0.005902901997873918,0.004951305645487321,0.008396571230979264
cosine,cosine decay,matched,32,1800,steps,512,0.0007801382037574484,0.0007449075128573508,0.0008433094665756329,0.0007801382037574484,0.0007449075128573508,0.0008433094665756329,0.004298990200781039,0.0036003511455752323,0.006773044358966085,0.004298990200781039,0.0036003511455752323,0.006773044358966085
cosine,cosine decay,unmatched,1,50,steps,512,0.03977732746485402,0.03603260934247838,0.045983092464658544,0.03977732746485402,0.03603260934247838,0.045983092464658544,0.21364607279023234,0.18178899286639302,0.35364737128777535,0.21364607279023234,0.18178899286639302,0.35364737128777535
cosine,cosine decay,unmatched,1,100,steps,512,0.017720890159752093,0.016235528169083253,0.01881255761957912,0.017720890159752093,0.016235528169083253,0.01881255761957912,0.10923421241858638,0.08367471737317472,0.18530080305986973,0.10923421241858638,0.08367471737317472,0.18530080305986973
